x,y,Predictions
793291.838858574,1186671.27575777,2.35926318928922e-06
793291.838858574,1186459.23773,2.45559065421574e-06
793344.844051347,1187837.4849105,1.12259983083239e-06
793344.844051347,1187572.43737579,1.56638774131856e-06
793344.844051347,1187466.4183619,1.75592464079043e-06
793344.844051347,1187413.40885496,1.85156792603272e-06
793344.844051347,1187201.37082719,2.22825021476028e-06
793344.844051347,1186830.3042786,2.78467077220451e-06
793344.844051347,1186724.28526471,2.90133261033069e-06
793344.844051347,1186671.27575777,2.95081984997111e-06
793397.84924412,1188208.55145909,7.43481750597434e-07
793397.84924412,1188102.53244521,8.93265303250602e-07
793397.84924412,1188049.52293827,9.75285317277381e-07
793397.84924412,1187943.50392438,1.15337232479292e-06
793397.84924412,1187837.4849105,1.34935351843395e-06
793397.84924412,1187572.43737579,1.90414349658323e-06
793397.84924412,1187466.4183619,2.14356575804278e-06
793397.84924412,1187413.40885496,2.2649371401691e-06
793397.84924412,1187201.37082719,2.74671785703849e-06
793397.84924412,1186724.28526471,3.62759898137791e-06
793397.84924412,1186671.27575777,3.6942711086422e-06
793397.84924412,1186512.24723694,3.84634163065534e-06
793397.84924412,1186459.23773,3.88043341325329e-06
793397.84924412,1186406.22822306,3.90608978292666e-06
793397.84924412,1186353.21871612,3.92333081590447e-06
793450.854436894,1188208.55145909,8.78826538609396e-07
793450.854436894,1188102.53244521,1.06128467099438e-06
793450.854436894,1188049.52293827,1.16164467182568e-06
793450.854436894,1187837.4849105,1.62288031746891e-06
793450.854436894,1187784.47540356,1.75229213148137e-06
793450.854436894,1187731.46589661,1.88677156828774e-06
793450.854436894,1187678.45638967,2.02590963956604e-06
793450.854436894,1187625.44688273,2.16922741253932e-06
793450.854436894,1187572.43737579,2.31617771527291e-06
793450.854436894,1187519.42786884,2.4661480914902e-06
793450.854436894,1187466.4183619,2.61846501391745e-06
793450.854436894,1187413.40885496,2.77239933377316e-06
793450.854436894,1187360.39934802,2.92717291175083e-06
793450.854436894,1187307.38984108,3.08196634376379e-06
793450.854436894,1187254.38033413,3.23592766393695e-06
793450.854436894,1187201.37082719,3.38818187897143e-06
793450.854436894,1187148.36132025,3.53784116309094e-06
793450.854436894,1187095.35181331,3.68401552224562e-06
793450.854436894,1187042.34230636,3.82582372088452e-06
793450.854436894,1186989.33279942,3.96240425503646e-06
793450.854436894,1186936.32329248,4.0929261519586e-06
793450.854436894,1186883.31378554,4.21659937949094e-06
793450.854436894,1186830.3042786,4.33268465728451e-06
793450.854436894,1186777.29477165,4.44050247698789e-06
793450.854436894,1186724.28526471,4.53944115873832e-06
793450.854436894,1186671.27575777,4.62896379611142e-06
793450.854436894,1186618.26625083,4.70861397022643e-06
793450.854436894,1186565.25674388,4.77802014490182e-06
793450.854436894,1186512.24723694,4.83689868758277e-06
793450.854436894,1186459.23773,4.88505549405674e-06
793450.854436894,1186406.22822306,4.92238622774963e-06
793450.854436894,1186353.21871612,4.94887521555033e-06
793503.859629667,1188844.6655424,2.64087503893546e-07
793503.859629667,1188208.55145909,1.03934305983024e-06
793503.859629667,1188155.54195215,1.1465854545665e-06
793503.859629667,1188102.53244521,1.26154364831051e-06
793503.859629667,1188049.52293827,1.38430779173134e-06
793503.859629667,1187996.51343132,1.51490340339257e-06
793503.859629667,1187943.50392438,1.65328480302442e-06
793503.859629667,1187890.49441744,1.79932915551785e-06
793503.859629667,1187837.4849105,1.95283131104674e-06
793503.859629667,1187784.47540356,2.11349962276038e-06
793503.859629667,1187731.46589661,2.28095291355835e-06
793503.859629667,1187678.45638967,2.4547187474548e-06
793503.859629667,1187625.44688273,2.63423313899811e-06
793503.859629667,1187572.43737579,2.81884180648734e-06
793503.859629667,1187519.42786884,3.00780304189061e-06
793503.859629667,1187466.4183619,3.20029223326936e-06
793503.859629667,1187413.40885496,3.39540803515379e-06
793503.859629667,1187360.39934802,3.59218014001742e-06
793503.859629667,1187307.38984108,3.78957856105292e-06
793503.859629667,1187254.38033413,3.98652429441042e-06
793503.859629667,1187201.37082719,4.18190118936525e-06
793503.859629667,1187148.36132025,4.3745688189982e-06
793503.859629667,1187095.35181331,4.56337611326369e-06
793503.859629667,1187042.34230636,4.74717549191468e-06
793503.859629667,1186989.33279942,4.92483721766314e-06
793503.859629667,1186936.32329248,5.09526368077017e-06
793503.859629667,1186883.31378554,5.25740332543664e-06
793503.859629667,1186830.3042786,5.41026393589867e-06
793503.859629667,1186777.29477165,5.5529250157763e-06
793503.859629667,1186724.28526471,5.68454901739483e-06
793503.859629667,1186671.27575777,5.80439120766754e-06
793503.859629667,1186618.26625083,5.91180799251657e-06
793503.859629667,1186565.25674388,6.00626356160006e-06
793503.859629667,1186512.24723694,6.08733475769794e-06
793503.859629667,1186459.23773,6.154714119213e-06
793503.859629667,1186406.22822306,6.20821108826241e-06
793503.859629667,1186353.21871612,6.24775141944949e-06
793503.859629667,1186300.20920917,6.27337486428075e-06
793556.86482244,1188526.60850075,6.3648900167972e-07
793556.86482244,1188473.5989938,7.14754413806147e-07
793556.86482244,1188420.58948686,8.00702225016467e-07
793556.86482244,1188367.57997992,8.94771493346364e-07
793556.86482244,1188314.57047298,9.9737831574174e-07
793556.86482244,1188261.56096603,1.10890735515375e-06
793556.86482244,1188208.55145909,1.22970286251646e-06
793556.86482244,1188155.54195215,1.36005932846087e-06
793556.86482244,1188102.53244521,1.50021192618655e-06
793556.86482244,1188049.52293827,1.65032693166697e-06
793556.86482244,1187996.51343132,1.81049232919089e-06
793556.86482244,1187943.50392438,1.98070882799247e-06
793556.86482244,1187890.49441744,2.16088152831478e-06
793556.86482244,1187837.4849105,2.35081248167369e-06
793556.86482244,1187784.47540356,2.55019438950206e-06
793556.86482244,1187731.46589661,2.75860567609828e-06
793556.86482244,1187678.45638967,2.97550715550847e-06
793556.86482244,1187625.44688273,3.2002404875298e-06
793556.86482244,1187572.43737579,3.43202858568969e-06
793556.86482244,1187519.42786884,3.66997810038033e-06
793556.86482244,1187466.4183619,3.91308405426583e-06
793556.86482244,1187413.40885496,4.16023665582883e-06
793556.86482244,1187360.39934802,4.41023026203791e-06
793556.86482244,1187307.38984108,4.66177440432544e-06
793556.86482244,1187254.38033413,4.91350673530307e-06
793556.86482244,1187201.37082719,5.16400769887484e-06
793556.86482244,1187148.36132025,5.41181667565835e-06
793556.86482244,1187095.35181331,5.6554493107444e-06
793556.86482244,1187042.34230636,5.89341569358369e-06
793556.86482244,1186989.33279942,6.12423903155539e-06
793556.86482244,1186936.32329248,6.34647444073006e-06
793556.86482244,1186883.31378554,6.55872747016454e-06
793556.86482244,1186830.3042786,6.75967198009197e-06
793556.86482244,1186777.29477165,6.94806700945939e-06
793556.86482244,1186724.28526471,7.1227722938405e-06
793556.86482244,1186671.27575777,7.28276212991455e-06
793556.86482244,1186618.26625083,7.42713732606945e-06
793556.86482244,1186565.25674388,7.55513502875282e-06
793556.86482244,1186512.24723694,7.66613626907529e-06
793556.86482244,1186459.23773,7.75967113199803e-06
793556.86482244,1186406.22822306,7.83542150918208e-06
793556.86482244,1186353.21871612,7.893221454378e-06
793556.86482244,1186300.20920917,7.93305521515969e-06
793609.870015213,1188791.65603546,3.95841958097748e-07
793609.870015213,1188738.64652851,4.50783061237792e-07
793609.870015213,1188685.63702157,5.12248527094782e-07
793609.870015213,1188632.62751463,5.80810078153714e-07
793609.870015213,1188579.61800769,6.57055019457629e-07
793609.870015213,1188526.60850075,7.41580583928354e-07
793609.870015213,1188473.5989938,8.34987249181729e-07
793609.870015213,1188420.58948686,9.37871018863518e-07
793609.870015213,1188367.57997992,1.05081468842838e-06
793609.870015213,1188314.57047298,1.17437814562863e-06
793609.870015213,1188261.56096603,1.30908778919145e-06
793609.870015213,1188208.55145909,1.45542518441995e-06
793609.870015213,1188155.54195215,1.61381511075355e-06
793609.870015213,1188102.53244521,1.78461319246951e-06
793609.870015213,1188049.52293827,1.96809333835376e-06
793609.870015213,1187996.51343132,2.16443524783281e-06
793609.870015213,1187943.50392438,2.37371226826489e-06
793609.870015213,1187890.49441744,2.59587990926778e-06
793609.870015213,1187837.4849105,2.83076533374486e-06
793609.870015213,1187784.47540356,3.0780581503248e-06
793609.870015213,1187731.46589661,3.33730282728157e-06
793609.870015213,1187678.45638967,3.60789303283023e-06
793609.870015213,1187625.44688273,3.88906818072599e-06
793609.870015213,1187572.43737579,4.17991242329639e-06
793609.870015213,1187519.42786884,4.47935628697255e-06
793609.870015213,1187466.4183619,4.78618108898033e-06
793609.870015213,1187413.40885496,5.0990262095331e-06
793609.870015213,1187360.39934802,5.41639922346604e-06
793609.870015213,1187307.38984108,5.73668882095128e-06
793609.870015213,1187254.38033413,6.05818037114136e-06
793609.870015213,1187201.37082719,6.37907390802916e-06
793609.870015213,1187148.36132025,6.69750424703703e-06
793609.870015213,1187095.35181331,7.01156287663435e-06
793609.870015213,1187042.34230636,7.31932121390779e-06
793609.870015213,1186989.33279942,7.61885476877791e-06
793609.870015213,1186936.32329248,7.90826773007521e-06
793609.870015213,1186883.31378554,8.18571746934279e-06
793609.870015213,1186830.3042786,8.44943845560257e-06
793609.870015213,1186777.29477165,8.69776508670424e-06
793609.870015213,1186724.28526471,8.92915296965836e-06
793609.870015213,1186671.27575777,9.14219822266613e-06
793609.870015213,1186618.26625083,9.33565442381759e-06
793609.870015213,1186565.25674388,9.50844689369009e-06
793609.870015213,1186512.24723694,9.65968406909058e-06
793609.870015213,1186459.23773,9.78866580038884e-06
793609.870015213,1186406.22822306,9.89488848268715e-06
793609.870015213,1186353.21871612,9.97804700881923e-06
793609.870015213,1186300.20920917,1.00380336072927e-05
793609.870015213,1186247.19970223,1.00749336986359e-05
793662.875207987,1188579.61800769,7.63790312484762e-07
793662.875207987,1188526.60850075,8.64334704286375e-07
793662.875207987,1188473.5989938,9.75774992698433e-07
793662.875207987,1188420.58948686,1.0988882453536e-06
793662.875207987,1188367.57997992,1.23444210488604e-06
793662.875207987,1188314.57047298,1.38318290324037e-06
793662.875207987,1188261.56096603,1.54582253634582e-06
793662.875207987,1188208.55145909,1.72302422595353e-06
793662.875207987,1188155.54195215,1.9153873430173e-06
793662.875207987,1188102.53244521,2.12343151542392e-06
793662.875207987,1188049.52293827,2.34758029044463e-06
793662.875207987,1187996.51343132,2.58814466710125e-06
793662.875207987,1187943.50392438,2.8453068537578e-06
793662.875207987,1187890.49441744,3.11910463956717e-06
793662.875207987,1187837.4849105,3.40941679295645e-06
793662.875207987,1187784.47540356,3.71594991429306e-06
793662.875207987,1187731.46589661,4.03822717157434e-06
793662.875207987,1187678.45638967,4.37557933629644e-06
793662.875207987,1187625.44688273,4.72713851063266e-06
793662.875207987,1187572.43737579,5.09183489659708e-06
793662.875207987,1187519.42786884,5.46839690314135e-06
793662.875207987,1187466.4183619,5.85535481916949e-06
793662.875207987,1187413.40885496,6.25104820074765e-06
793662.875207987,1187360.39934802,6.65363703151609e-06
793662.875207987,1187307.38984108,7.06111661909284e-06
793662.875207987,1187254.38033413,7.47133609025789e-06
793662.875207987,1187201.37082719,7.88202024724423e-06
793662.875207987,1187148.36132025,8.29079445022076e-06
793662.875207987,1187095.35181331,8.69521210050462e-06
793662.875207987,1187042.34230636,9.09278421866794e-06
793662.875207987,1186989.33279942,9.48101054469467e-06
793662.875207987,1186936.32329248,9.85741153611958e-06
793662.875207987,1186883.31378554,1.02195606069752e-05
793662.875207987,1186830.3042786,1.05651159364843e-05
793662.875207987,1186777.29477165,1.0891851182579e-05
793662.875207987,1186724.28526471,1.11976844610896e-05
793662.875207987,1186671.27575777,1.1480704996089e-05
793662.875207987,1186618.26625083,1.17391969085152e-05
793662.875207987,1186565.25674388,1.19716596866454e-05
793662.875207987,1186512.24723694,1.21768249702967e-05
793662.875207987,1186459.23773,1.23536693776107e-05
793662.875207987,1186406.22822306,1.25014232054604e-05
793662.875207987,1186353.21871612,1.26195749383322e-05
793662.875207987,1186300.20920917,1.27078716024549e-05
793662.875207987,1186247.19970223,1.27663150989167e-05
793715.88040076,1188420.58948686,1.28786684336425e-06
793715.88040076,1188367.57997992,1.45048513904939e-06
793715.88040076,1188314.57047298,1.62944988615626e-06
793715.88040076,1188261.56096603,1.82571433397636e-06
793715.88040076,1188208.55145909,2.04018037852151e-06
793715.88040076,1188155.54195215,2.27367942070503e-06
793715.88040076,1188102.53244521,2.52695208913322e-06
793715.88040076,1188049.52293827,2.80062714655241e-06
793715.88040076,1187996.51343132,3.09519996118665e-06
793715.88040076,1187943.50392438,3.41101098168725e-06
793715.88040076,1187890.49441744,3.74822470452483e-06
793715.88040076,1187837.4849105,4.10680966264678e-06
793715.88040076,1187784.47540356,4.48651999145654e-06
793715.88040076,1187731.46589661,4.88687914036003e-06
793715.88040076,1187678.45638967,5.30716629321623e-06
793715.88040076,1187625.44688273,5.74640603765696e-06
793715.88040076,1187572.43737579,6.20336178064317e-06
793715.88040076,1187519.42786884,6.67653334562155e-06
793715.88040076,1187466.4183619,7.1641591062611e-06
793715.88040076,1187413.40885496,7.66422291427612e-06
793715.88040076,1187360.39934802,8.17446596701204e-06
793715.88040076,1187307.38984108,8.69240363725754e-06
793715.88040076,1187254.38033413,9.21534715707778e-06
793715.88040076,1187201.37082719,9.7404299137512e-06
793715.88040076,1187148.36132025,1.02646379836967e-05
793715.88040076,1187095.35181331,1.07848444045759e-05
793715.88040076,1187042.34230636,1.12978465711647e-05
793715.88040076,1186989.33279942,1.18004060415787e-05
793715.88040076,1186724.28526471,1.40459610199852e-05
793715.88040076,1186618.26625083,1.47655740025378e-05
793715.88040076,1186406.22822306,1.57999330674241e-05
793715.88040076,1186353.21871612,1.59661017603514e-05
793768.885593533,1188208.55145909,2.41593898933421e-06
793768.885593533,1188155.54195215,2.69919995876199e-06
793768.885593533,1188102.53244521,3.00734148910306e-06
793768.885593533,1188049.52293827,3.34127058686808e-06
793768.885593533,1187996.51343132,3.70173754978007e-06
793768.885593533,1187943.50392438,4.0893076805601e-06
793768.885593533,1187890.49441744,4.50433325594372e-06
793768.885593533,1187837.4849105,4.9469264211432e-06
793768.885593533,1187784.47540356,5.41693372656705e-06
793768.885593533,1187731.46589661,5.91391305186551e-06
793768.885593533,1187678.45638967,6.43711366930102e-06
793768.885593533,1187625.44688273,6.98546018175355e-06
793768.885593533,1187572.43737579,7.55754102868489e-06
793768.885593533,1187307.38984108,1.07007250089796e-05
793768.885593533,1187201.37082719,1.20373506515219e-05
793768.885593533,1187095.35181331,1.33772451071071e-05
793768.885593533,1187042.34230636,1.4038397539577e-05
793768.885593533,1186724.28526471,1.76209138533885e-05
793768.885593533,1186618.26625083,1.85749889917766e-05
793768.885593533,1186406.22822306,1.99730964355046e-05
793768.885593533,1186353.21871612,2.02048206625238e-05
793821.890786307,1187890.49441744,5.41257427827422e-06
793821.890786307,1187837.4849105,5.95842077175646e-06
793821.890786307,1187784.47540356,6.53972216622021e-06
793821.890786307,1187572.43737579,9.20639556496493e-06
793821.890786307,1187466.4183619,1.07237961956923e-05
793821.890786307,1187201.37082719,1.48746761131218e-05
793821.890786307,1187095.35181331,1.65916424076539e-05
793821.890786307,1187042.34230636,1.74426670559684e-05
793821.890786307,1186724.28526471,2.21058691174288e-05
793821.890786307,1186618.26625083,2.33679715866454e-05
793821.890786307,1186565.25674388,2.39238402019376e-05
793821.890786307,1186512.24723694,2.44248301739795e-05
793821.890786307,1186459.23773,2.48679911286025e-05
793821.890786307,1186406.22822306,2.52509072129807e-05
793821.890786307,1186353.21871612,2.55717202129368e-05
793821.890786307,1186300.20920917,2.58291431097338e-05
793821.890786307,1186247.19970223,2.60224640721906e-05
793821.890786307,1186194.19019529,2.61515411132765e-05
793874.89597908,1187837.4849105,7.1754731006264e-06
