seal_id,group_id,date_,day_of_yr,year,ET_ID,ET_X,ET_Y,site,PupClass
3500,49,06-22-2004,174,2004,3499,794658.5181,1196420.515,DB,n
3501,79,06-22-2004,174,2004,3500,795108.3096,1195822.93,DB,n
3502,79,06-22-2004,174,2004,3501,795108.3653,1195822.421,DB,y
3503,83,06-22-2004,174,2004,3502,795141.6933,1197133.265,DB,n
3504,83,06-22-2004,174,2004,3503,795143.5497,1197132.616,DB,n
3505,83,06-22-2004,174,2004,3504,795143.214,1197133.427,DB,y
3506,84,06-22-2004,174,2004,3505,795203.5752,1197227.776,DB,n
3507,84,06-22-2004,174,2004,3506,795204.5183,1197227.195,DB,n
3508,84,06-22-2004,174,2004,3507,795204.4778,1197228.439,DB,y
3509,84,06-22-2004,174,2004,3508,795205.7258,1197226.895,DB,y
3510,87,06-22-2004,174,2004,3509,795235.2437,1198194.931,DB,y
3511,87,06-22-2004,174,2004,3510,795234.6396,1198195.771,DB,n
3512,87,06-22-2004,174,2004,3511,795234.009,1198196.278,DB,y
3513,116,06-22-2004,174,2004,3512,795427.623,1195317.244,DB,n
3514,116,06-22-2004,174,2004,3513,795427.9185,1195316.694,DB,y
3515,117,06-22-2004,174,2004,3514,795416.6273,1195416.986,DB,n
3516,117,06-22-2004,174,2004,3515,795417.1327,1195416.315,DB,n
3517,118,06-22-2004,174,2004,3516,795362.2654,1195416.454,DB,n
3518,119,06-22-2004,174,2004,3517,795401.5358,1195384.396,DB,n
3519,120,06-22-2004,174,2004,3518,795399.9603,1195634.451,DB,n
3520,121,06-22-2004,174,2004,3519,795389.358,1195763.262,DB,n
3521,123,06-22-2004,174,2004,3520,795471.0735,1196271.962,DB,n
3522,124,06-22-2004,174,2004,3521,795458.9205,1196313.526,DB,n
3523,125,06-22-2004,174,2004,3522,795485.3805,1196338.742,DB,n
3524,125,06-22-2004,174,2004,3523,795483.7167,1196336.157,DB,y
3525,125,06-22-2004,174,2004,3524,795483.7991,1196336.891,DB,n
3526,126,06-22-2004,174,2004,3525,795458.6295,1196405.867,DB,n
3527,127,06-22-2004,174,2004,3526,795485.0359,1196477.989,DB,n
3528,128,06-22-2004,174,2004,3527,795424.6164,1196475.603,DB,n
3529,128,06-22-2004,174,2004,3528,795426.2919,1196476.523,DB,n
3530,129,06-22-2004,174,2004,3529,795460.4856,1196492.18,DB,n
3531,130,06-22-2004,174,2004,3530,795462.9415,1196492.389,DB,y
3532,131,06-22-2004,174,2004,3531,795530.3334,1196492.791,DB,n
3533,131,06-22-2004,174,2004,3532,795530.4809,1196491.666,DB,n
3534,132,06-22-2004,174,2004,3533,795438.5621,1196531.355,DB,n
3535,132,06-22-2004,174,2004,3534,795439.1974,1196531.273,DB,y
3536,133,06-22-2004,174,2004,3535,795528.2314,1196527.177,DB,n
3537,134,06-22-2004,174,2004,3536,795499.5953,1196519.474,DB,n
3538,134,06-22-2004,174,2004,3537,795500.509,1196520.06,DB,y
3539,134,06-22-2004,174,2004,3538,795501.74,1196519.159,DB,n
3540,134,06-22-2004,174,2004,3539,795501.1103,1196520.768,DB,n
3541,134,06-22-2004,174,2004,3540,795501.1112,1196519.413,DB,n
3542,134,06-22-2004,174,2004,3541,795501.6823,1196520.911,DB,n
3543,135,06-22-2004,174,2004,3542,795478.0134,1196531.853,DB,n
3544,136,06-22-2004,174,2004,3543,795439.8784,1196614.582,DB,n
3545,137,06-22-2004,174,2004,3544,795439.6348,1196621.311,DB,y
3546,138,06-22-2004,174,2004,3545,795453.3659,1196949.772,DB,n
3547,138,06-22-2004,174,2004,3546,795450.983,1196949.101,DB,y
3548,139,06-22-2004,174,2004,3547,795455.7811,1196948.706,DB,n
3549,139,06-22-2004,174,2004,3548,795456.8011,1196948.025,DB,n
3550,140,06-22-2004,174,2004,3549,795454.8154,1196954.328,DB,y
3551,141,06-22-2004,174,2004,3550,795486.6657,1196922.563,DB,n
3552,141,06-22-2004,174,2004,3551,795486.5763,1196923.021,DB,y
3553,142,06-22-2004,174,2004,3552,795504.0764,1197023.147,DB,n
3554,142,06-22-2004,174,2004,3553,795504.3271,1197022.671,DB,y
3555,143,06-22-2004,174,2004,3554,795468.1285,1197230.043,DB,y
3556,143,06-22-2004,174,2004,3555,795469.8299,1197228.843,DB,y
3557,144,06-22-2004,174,2004,3556,795474.6507,1197205.166,DB,n
3558,144,06-22-2004,174,2004,3557,795474.9414,1197204.165,DB,y
3559,144,06-22-2004,174,2004,3558,795475.3215,1197203.935,DB,n
3560,148,06-22-2004,174,2004,3559,795542.1692,1197990.901,DB,n
3561,148,06-22-2004,174,2004,3560,795542.1948,1197990.282,DB,y
3562,149,06-22-2004,174,2004,3561,795599.516,1198023.713,DB,y
3563,150,06-22-2004,174,2004,3562,795623.7832,1198241.575,DB,n
3564,150,06-22-2004,174,2004,3563,795625.5239,1198241.45,DB,n
3565,150,06-22-2004,174,2004,3564,795626.1552,1198240.651,DB,n
3566,151,06-22-2004,174,2004,3565,795646.4096,1198284.206,DB,n
3567,152,06-22-2004,174,2004,3566,795645.6183,1198371.474,DB,n
3568,152,06-22-2004,174,2004,3567,795646.74,1198371.801,DB,n
3569,152,06-22-2004,174,2004,3568,795646.8243,1198373.19,DB,n
3570,183,06-22-2004,174,2004,3569,795910.7563,1194996.013,DB,n
3571,184,06-22-2004,174,2004,3570,795921.2076,1195063.427,DB,n
3572,185,06-22-2004,174,2004,3571,795923.0675,1195066.331,DB,n
3573,186,06-22-2004,174,2004,3572,795882.1897,1195082.817,DB,n
3574,186,06-22-2004,174,2004,3573,795882.8118,1195082.406,DB,y
3575,187,06-22-2004,174,2004,3574,795839.3864,1195072.188,DB,n
3576,187,06-22-2004,174,2004,3575,795838.687,1195072.653,DB,y
3577,188,06-22-2004,174,2004,3576,795938.757,1195168.667,DB,n
3578,188,06-22-2004,174,2004,3577,795939.6341,1195168.488,DB,n
3579,189,06-22-2004,174,2004,3578,795944.8697,1195180.704,DB,n
3580,190,06-22-2004,174,2004,3579,795924.4294,1195215.458,DB,n
3581,190,06-22-2004,174,2004,3580,795923.5321,1195215.997,DB,y
3582,191,06-22-2004,174,2004,3581,795936.4492,1195213.902,DB,n
3583,191,06-22-2004,174,2004,3582,795935.8502,1195214.102,DB,n
3584,191,06-22-2004,174,2004,3583,795935.165,1195214.522,DB,y
3585,192,06-22-2004,174,2004,3584,795931.0951,1195222.593,DB,n
3586,193,06-22-2004,174,2004,3585,795903.8889,1195239.545,DB,n
3587,194,06-22-2004,174,2004,3586,795952.7551,1195231.607,DB,n
3588,195,06-22-2004,174,2004,3587,795952.3693,1195238.177,DB,n
3589,195,06-22-2004,174,2004,3588,795954.2646,1195237.587,DB,y
3590,196,06-22-2004,174,2004,3589,795944.7803,1195245.433,DB,n
3591,197,06-22-2004,174,2004,3590,795936.612,1195244.07,DB,n
3592,198,06-22-2004,174,2004,3591,795942.9536,1195253.802,DB,n
3593,199,06-22-2004,174,2004,3592,795956.5553,1195259.618,DB,n
3594,200,06-22-2004,174,2004,3593,795881.8442,1195331.601,DB,n
3595,201,06-22-2004,174,2004,3594,795925.3903,1195319.631,DB,n
3596,201,06-22-2004,174,2004,3595,795925.5742,1195320.604,DB,y
3597,202,06-22-2004,174,2004,3596,795933.1392,1195331.276,DB,n
3598,203,06-22-2004,174,2004,3597,795859.9288,1195364.915,DB,n
3599,203,06-22-2004,174,2004,3598,795858.3242,1195365.471,DB,n
3600,203,06-22-2004,174,2004,3599,795858.9795,1195366.061,DB,n
3601,203,06-22-2004,174,2004,3600,795856.7022,1195366.609,DB,y
3602,204,06-22-2004,174,2004,3601,795958.0839,1195412.301,DB,y
3603,205,06-22-2004,174,2004,3602,795967.0847,1195640.332,DB,n
