"x","y"
795851.751907006,1189344.33070201
796210.381998319,1189312.95463462
796219.097572594,1189412.57410443
796577.727663907,1189381.19803704
795869.183055555,1189543.56964163
796227.813146868,1189512.19357424
796586.443238182,1189480.81750685
796945.073329495,1189449.44143946
796595.158812456,1189580.43697666
796953.788903769,1189549.06090927
796962.504478044,1189648.68037908
796971.220052319,1189748.29984889
796262.675443968,1189910.67145348
796621.305535281,1189879.29538609
796979.935626594,1189847.9193187
796630.021109555,1189978.9148559
796988.651200868,1189947.53878851
796638.73668383,1190078.5343257
796997.366775143,1190047.15825832
797006.082349418,1190146.77772812
796656.16783238,1190277.77326532
797014.797923693,1190246.39719793
797373.428015006,1190215.02113054
797023.513497968,1190346.01666774
797382.143589281,1190314.64060035
797032.229072242,1190445.63613755
797390.859163555,1190414.26007016
797040.944646517,1190545.25560736
797758.204829143,1190482.50347258
796691.030129479,1190676.25114456
797049.660220792,1190644.87507717
797408.290312105,1190613.49900978
797766.920403418,1190582.12294239
797058.375795067,1190744.49454698
797417.00588638,1190713.11847959
797067.091369341,1190844.11401679
797425.721460654,1190812.7379494
796717.176852303,1190975.10955399
797434.437034929,1190912.35741921
797793.067126242,1190880.98135182
797443.152609204,1191011.97688902
797801.782700517,1190980.60082163
796734.608000853,1191174.34849361
797093.238092166,1191142.97242622
797451.868183479,1191111.59635883
797810.498274792,1191080.22029144
798169.128366105,1191048.84422405
797101.95366644,1191242.59189603
797460.583757753,1191211.21582864
797819.213849066,1191179.83976125
798177.843940379,1191148.46369386
797110.669240715,1191342.21136583
797469.299332028,1191310.83529845
797827.929423341,1191279.45923106
798186.559514654,1191248.08316367
797119.38481499,1191441.83083564
797478.014906303,1191410.45476825
797836.644997616,1191379.07870087
797128.100389265,1191541.45030545
797486.730480578,1191510.07423806
797845.360571891,1191478.69817067
798203.990663204,1191447.32210329
797495.446054852,1191609.69370787
797854.076146165,1191578.31764048
798212.706237479,1191546.94157309
797504.161629127,1191709.31317768
797862.79172044,1191677.93711029
798221.421811753,1191646.5610429
797512.877203402,1191808.93264749
797871.507294715,1191777.5565801
798230.137386028,1191746.18051271
797521.592777677,1191908.5521173
797880.22286899,1191877.17604991
798238.852960303,1191845.79998252
798597.483051616,1191814.42391513
797530.308351952,1192008.17158711
797888.938443265,1191976.79551972
798606.198625891,1191914.04338494
797539.023926226,1192107.79105692
797897.654017539,1192076.41498953
798256.284108852,1192045.03892214
798614.914200165,1192013.66285475
797906.369591814,1192176.03445934
798264.999683127,1192144.65839195
797915.085166089,1192275.65392915
798273.715257402,1192244.27786176
798282.430831677,1192343.89733157
798641.06092299,1192312.52126418
798291.146405951,1192443.51680138
798649.776497264,1192412.14073399
797941.231888913,1192574.51233858
798658.492071539,1192511.7602038
797949.947463188,1192674.13180838
798308.577554501,1192642.755741
798667.207645814,1192611.37967361
797958.663037463,1192773.75127819
798317.293128776,1192742.3752108
798675.923220089,1192710.99914342
797967.378611737,1192873.370748
798326.00870305,1192841.99468061
798684.638794363,1192810.61861322
797976.094186012,1192972.99021781
798334.724277325,1192941.61415042
798693.354368638,1192910.23808303
798343.4398516,1193041.23362023
798702.069942913,1193009.85755284
798352.155425875,1193140.85309004
798710.785517188,1193109.47702265
798360.87100015,1193240.47255985
798719.501091463,1193209.09649246
798369.586574424,1193340.09202966
798728.216665737,1193308.71596227
798378.302148699,1193439.71149947
798736.932240012,1193408.33543208
798387.017722974,1193539.33096928
798745.647814287,1193507.95490189
798395.733297249,1193638.95043909
798754.363388562,1193607.5743717
798763.078962836,1193707.19384151
798413.164445798,1193838.18937871
798421.880020073,1193937.80884851
798430.595594348,1194037.42831832
798789.225685661,1194006.05225093
797004.79080337,1194262.55205769
798439.311168622,1194137.04778813
798797.941259935,1194105.67172074
796296.246195019,1194424.92366228
796654.876286332,1194393.54759489
797013.506377645,1194362.1715275
797372.136468958,1194330.79546011
798448.026742897,1194236.66725794
798806.65683421,1194205.29119055
795946.331677981,1194555.91919948
796304.961769294,1194524.54313209
797022.22195192,1194461.79099731
798815.372408485,1194304.91066036
795955.047252255,1194655.53866928
796313.677343569,1194624.1626019
796672.307434882,1194592.78653451
797030.937526195,1194561.41046712
797389.567617508,1194530.03439973
798824.08798276,1194404.53013017
795605.132735217,1194786.53420648
796322.392917843,1194723.7820717
796681.023009156,1194692.40600432
797039.653100469,1194661.02993693
797398.283191782,1194629.65386954
798474.173465722,1194535.52566737
795613.848309492,1194886.15367629
796331.108492118,1194823.40154151
797048.368674744,1194760.64940674
798482.889039996,1194635.14513718
798841.519131309,1194603.76906979
795622.563883767,1194985.7731461
795981.19397508,1194954.39707871
796339.824066393,1194923.02101132
796698.454157706,1194891.64494393
797057.084249019,1194860.26887654
797415.714340332,1194828.89280916
798850.234705584,1194703.3885396
795272.649366728,1195116.7686833
795631.279458042,1195085.39261591
795989.909549355,1195054.01654852
796348.539640668,1195022.64048113
796707.169731981,1194991.26441374
797065.799823294,1194959.88834635
798858.950279859,1194803.00800941
795281.364941003,1195216.38815311
795639.995032316,1195185.01208572
795998.625123629,1195153.63601833
796357.255214942,1195122.25995094
796715.885306255,1195090.88388355
797074.515397568,1195059.50781616
798867.665854134,1194902.62747922
795290.080515278,1195316.00762292
796007.340697904,1195253.25548814
796365.970789217,1195221.87942075
796724.60088053,1195190.50335336
797083.230971843,1195159.12728597
798876.381428408,1195002.24694903
795298.796089553,1195415.62709273
796016.056272179,1195352.87495795
796374.686363492,1195321.49889056
796733.316454805,1195290.12282317
797091.946546118,1195258.74675578
798885.097002683,1195101.86641884
794948.881572515,1195546.62262993
795307.511663828,1195515.24656254
795666.141755141,1195483.87049515
796024.771846454,1195452.49442776
796383.401937767,1195421.11836037
796742.03202908,1195389.74229298
797100.662120393,1195358.36622559
797459.292211706,1195326.9901582
798893.812576958,1195201.48588865
795316.227238102,1195614.86603235
795674.857329415,1195583.48996496
796033.487420728,1195552.11389757
796392.117512041,1195520.73783018
796750.747603355,1195489.36176279
797109.377694668,1195457.9856954
797468.007785981,1195426.60962801
798902.528151233,1195301.10535845
794966.312721064,1195745.86156954
795683.57290369,1195683.10943477
796042.202995003,1195651.73336738
796400.833086316,1195620.35729999
796759.463177629,1195588.9812326
797118.093268942,1195557.60516521
798911.243725507,1195400.72482826
794975.028295339,1195845.48103935
795333.658386652,1195814.10497196
795692.288477965,1195782.72890457
796050.918569278,1195751.35283719
796409.548660591,1195719.9767698
796768.178751904,1195688.60070241
797126.808843217,1195657.22463502
797485.43893453,1195625.84856763
798919.959299782,1195500.34429807
794625.113778301,1195976.47657655
794983.743869614,1195945.10050916
795342.373960927,1195913.72444177
795701.00405224,1195882.34837438
796059.634143553,1195850.97230699
796418.264234866,1195819.59623961
796776.894326179,1195788.22017222
797494.154508805,1195725.46803744
794992.459443888,1196044.71997897
795351.089535201,1196013.34391158
796068.349717828,1195950.5917768
796426.979809141,1195919.21570942
796785.609900454,1195887.83964203
797144.239991767,1195856.46357464
795001.175018163,1196144.33944878
795359.805109476,1196112.96338139
796077.065292102,1196050.21124661
796435.695383415,1196018.83517922
796794.325474728,1195987.45911184
797152.955566041,1195956.08304445
798946.106022606,1195799.2027075
795368.520683751,1196212.5828512
795727.150775064,1196181.20678381
796085.780866377,1196149.83071642
796803.041049003,1196087.07858164
797161.671140316,1196055.70251425
798954.821596881,1195898.82217731
794659.9760754,1196374.95445579
795377.236258026,1196312.20232101
795735.866349339,1196280.82625362
796094.496440652,1196249.45018623
796453.126531965,1196218.07411884
797170.386714591,1196155.32198406
798963.537171156,1195998.44164712
795027.321740987,1196443.19785821
795385.951832301,1196411.82179082
795744.581923614,1196380.44572343
796103.212014927,1196349.06965604
796461.84210624,1196317.69358865
797179.102288866,1196254.94145387
798972.252745431,1196098.06111693
794677.407223949,1196574.19339541
795036.037315262,1196542.81732802
795394.667406575,1196511.44126063
795753.297497888,1196480.06519324
796111.927589201,1196448.68912585
796470.557680514,1196417.31305846
796829.187771827,1196385.93699107
797187.81786314,1196354.56092368
797546.447954453,1196323.18485629
798980.968319706,1196197.68058674
794686.122798224,1196673.81286522
795044.752889537,1196642.43679783
795403.38298085,1196611.06073044
795762.013072163,1196579.68466305
796120.643163476,1196548.30859566
796479.273254789,1196516.93252827
796837.903346102,1196485.55646088
795053.468463812,1196742.05626764
795412.098555125,1196710.68020025
795770.728646438,1196679.30413286
796129.358737751,1196647.92806547
